ts,scenario,label,n_packets,total_bytes,cache_misses,instructions,branch_misses
1785726750.226191,benign,0,134,14998,1078754.0,491292470.0,1186512.0
1785726751.2474754,benign,0,150,17018,973561.0,385369226.0,1110910.0
1785726752.2668006,benign,0,116,13640,949569.0,384177887.0,1064594.0
1785726753.2865672,benign,0,124,14236,946402.0,385020612.0,1057328.0
1785726754.306762,benign,0,124,14224,3153337.0,565107505.0,2349343.0
1785726755.3266542,benign,0,124,14238,2253525.0,482697536.0,1772364.0
1785726756.347616,benign,0,116,13642,948859.0,385702429.0,1077833.0
1785726757.3676603,benign,0,124,14238,955811.0,384046559.0,1081843.0
1785726758.3905458,benign,0,132,14858,1027982.0,412938519.0,1142492.0
1785726759.4128816,benign,0,124,14246,953574.0,385629856.0,1078151.0
1785726760.4352756,benign,0,132,14856,1440633.0,599113298.0,1384922.0
1785726761.457857,benign,0,124,14248,986068.0,396416062.0,1133122.0
1785726762.4801855,benign,0,116,13628,996019.0,389594189.0,1101382.0
1785726763.5029757,benign,0,124,14246,961780.0,404227265.0,1085734.0
1785726764.5315995,benign,0,132,14860,3127088.0,561835813.0,2324366.0
1785726765.5583978,benign,0,124,14252,1220100.0,428965986.0,1361046.0
1785726766.5807278,benign,0,124,14246,956942.0,385627875.0,1093367.0
1785726767.6024706,benign,0,132,14858,2345696.0,466692757.0,1507030.0
1785726768.6186726,benign,0,124,14240,968297.0,414420586.0,1081485.0
1785726769.6352868,benign,0,124,14244,962238.0,385216687.0,1083740.0
1785726770.6520946,benign,0,132,14852,1063646.0,457253895.0,1141854.0
1785726771.668426,benign,0,124,14250,962917.0,385492779.0,1086683.0
1785726772.6851945,benign,0,132,14846,961266.0,383544295.0,1078128.0
1785726773.706953,benign,0,132,14854,2642494.0,727985080.0,2124578.0
1785726774.7234545,benign,0,124,14244,3359356.0,576270980.0,2388164.0
1785726775.7396438,benign,0,116,13640,1011378.0,390925875.0,1115233.0
1785726776.7557795,benign,0,124,14242,961364.0,385507510.0,1078692.0
1785726777.771872,benign,0,124,14244,958816.0,477966219.0,1079514.0
1785726778.788585,benign,0,116,13636,956623.0,385801906.0,1068881.0
1785726779.8112638,benign,0,132,14856,1011429.0,398644679.0,1153197.0
1785726780.833553,benign,0,132,14846,1069364.0,529781093.0,1162326.0
1785726781.8622537,benign,0,116,13638,959733.0,390249274.0,1085912.0
1785726782.8844628,benign,0,124,14252,982555.0,423434516.0,1094169.0
1785726783.906846,benign,0,124,14250,2096030.0,484975025.0,1754625.0
1785726784.9339397,benign,0,124,14244,4560322.0,670974469.0,2580093.0
1785726785.956207,benign,0,124,14248,953807.0,384733866.0,1088218.0
1785726786.9786031,benign,0,124,14236,1345713.0,611242717.0,1320998.0
1785726788.0009646,benign,0,136,14880,962472.0,385274733.0,1089807.0
1785726789.0233347,benign,0,180,17392,1065596.0,447529147.0,1211564.0
1785726790.0462103,benign,0,132,14858,991554.0,389746377.0,1179648.0
1785726791.0685575,benign,0,116,13636,1038359.0,446929673.0,1123736.0
1785726792.091133,benign,0,124,14242,1001177.0,392647868.0,1149329.0
1785726793.1135828,benign,0,132,14856,978619.0,429859906.0,1119120.0
1785726794.1358988,benign,0,132,14838,3113582.0,561069678.0,2320706.0
1785726795.1564052,benign,0,122,15328,2247741.0,484185617.0,1725535.0
1785726796.1804984,benign,0,144,17810,1165554.0,522718164.0,1278013.0
1785726797.1984289,benign,0,122,14840,1000059.0,404954277.0,1129623.0
1785726798.2152665,benign,0,152,17160,956360.0,383783631.0,1067693.0
1785726799.2317712,benign,0,124,14248,1371490.0,500460599.0,1324368.0
1785726800.24957,benign,0,124,14242,1037639.0,457858782.0,1133379.0
1785726801.2682116,benign,0,140,15464,985926.0,391639380.0,1134140.0
1785726802.2881277,benign,0,106,12082,922237.0,383853638.0,1042047.0
1785726803.30815,benign,0,126,15200,951945.0,407237269.0,1072131.0
1785726804.3291934,benign,0,132,14856,3154043.0,590265651.0,2380472.0
1785726805.345469,benign,0,124,14238,2303686.0,495493063.0,1805501.0
1785726806.3619125,benign,0,132,14760,1001389.0,391700190.0,1108719.0
1785726807.3780477,benign,0,122,14078,969594.0,391624857.0,1084588.0
1785726808.394884,benign,0,132,14848,958769.0,385902503.0,1081344.0
1785726809.4115949,benign,0,124,14236,961592.0,384963202.0,1076789.0
1785726810.4338903,benign,0,124,14238,1050171.0,520129265.0,1156658.0
1785726811.4565036,benign,0,124,14244,965852.0,386869723.0,1099239.0
1785726812.4789147,benign,0,148,16074,1407405.0,493084810.0,1357314.0
1785726813.5014696,benign,0,100,12416,1111526.0,422389503.0,1065684.0
1785726814.523756,benign,0,140,15452,3181318.0,571361525.0,2412835.0
1785726815.5459695,benign,0,124,14248,2265730.0,486783821.0,1783290.0
1785726816.5682983,benign,0,124,14240,964321.0,387727959.0,1086610.0
1785726817.5905378,benign,0,116,13638,961528.0,392914192.0,1091963.0
1785726818.612776,benign,0,140,15456,1027633.0,394426612.0,1156777.0
1785726819.635002,benign,0,132,14862,973863.0,391685669.0,1105388.0
1785726820.6573174,benign,0,108,13028,1023892.0,486337460.0,1102933.0
1785726821.6800172,benign,0,124,14242,981626.0,469622005.0,1138442.0
1785726822.7022305,benign,0,124,14248,1002702.0,390852610.0,1131492.0
1785726823.725108,benign,0,116,13626,957931.0,385804169.0,1064631.0
1785726824.748085,benign,0,126,14356,3268180.0,594494046.0,2421737.0
1785726825.7707272,benign,0,132,14848,2675314.0,590588774.0,2014318.0
1785726826.7956111,benign,0,116,13630,954994.0,385339752.0,1084797.0
1785726827.8183606,benign,0,132,14852,968783.0,421374998.0,1094562.0
1785726828.8407154,benign,0,124,14246,963583.0,391529766.0,1084805.0
1785726829.8627973,benign,0,116,13624,964977.0,389362673.0,1079459.0
1785726830.8850772,benign,0,124,14244,1047943.0,475416323.0,1141624.0
1785726831.9075,benign,0,132,14852,962570.0,393408912.0,1089163.0
1785726832.9295857,benign,0,124,14246,951401.0,385378584.0,1072846.0
1785726833.951714,benign,0,132,14858,2095734.0,479321902.0,1743053.0
1785726834.9721649,benign,0,116,13630,3348650.0,617467425.0,2386156.0
1785726835.993308,benign,0,132,14862,2407317.0,478037227.0,1560265.0
1785726837.009867,benign,0,124,14248,963326.0,385705487.0,1086076.0
1785726838.026163,benign,0,124,14236,966577.0,392929507.0,1094963.0
1785726839.0424287,benign,0,116,13638,1384200.0,491727481.0,1327754.0
1785726840.059194,benign,0,124,14244,1007647.0,393699524.0,1145908.0
1785726841.0816193,benign,0,140,15462,1025581.0,438061821.0,1115806.0
1785726842.1038687,benign,0,116,13636,953316.0,426095472.0,1067144.0
1785726843.126488,benign,0,124,14242,953489.0,414214223.0,1082440.0
1785726844.1485095,benign,0,108,13034,2015306.0,473421365.0,1670703.0
1785726845.1720898,benign,0,156,19538,3415800.0,601034234.0,2516707.0
1785726846.1924863,benign,0,134,15410,1289680.0,566877818.0,1397267.0
1785726847.209242,benign,0,122,14842,940677.0,418944200.0,1046175.0
1785726848.226685,benign,0,168,17822,1017941.0,393732564.0,1132661.0
1785726849.2491305,benign,0,168,16762,1005816.0,425012959.0,1192882.0
1785726850.2696345,benign,0,116,13634,1428952.0,579053614.0,1342387.0
1785726851.2890286,benign,0,124,14248,963665.0,386749201.0,1087935.0
1785726852.3094635,benign,0,124,14234,2113088.0,459888219.0,1498298.0
1785726853.327466,benign,0,124,14244,2377231.0,471330787.0,1494537.0
1785726854.3438897,benign,0,132,14846,2283911.0,554170338.0,2131771.0
1785726855.360125,benign,0,132,14852,3346005.0,630880312.0,2383060.0
1785726856.3765056,benign,0,108,13034,957658.0,385764835.0,1055359.0
1785726857.3935857,benign,0,140,15464,979724.0,384946823.0,1109200.0
1785726858.415765,benign,0,116,13626,955677.0,389762048.0,1073814.0
1785726859.4376788,benign,0,116,13628,969409.0,439177311.0,1086721.0
1785726860.459306,benign,0,132,14856,1054800.0,470999345.0,1143377.0
1785726861.4816554,benign,0,132,14854,970100.0,385816108.0,1097852.0
1785726862.5040274,benign,0,124,14244,959754.0,414396421.0,1074430.0
1785726863.5263531,benign,0,124,14248,1390318.0,554163232.0,1322312.0
1785726864.5486338,benign,0,124,14240,2057618.0,477528646.0,1721470.0
1785726865.5710254,benign,0,124,14250,3352669.0,576400740.0,2383460.0
1785726866.5934117,benign,0,134,14898,988333.0,386717083.0,1118917.0
1785726867.6155543,benign,0,130,14690,961948.0,385498290.0,1088194.0
1785726868.637318,benign,0,148,16068,2377121.0,471288538.0,1543244.0
1785726869.659774,benign,0,132,14852,974883.0,387167475.0,1110226.0
1785726870.6821508,benign,0,116,13630,1035069.0,495021843.0,1110721.0
1785726871.704443,benign,0,124,14250,967522.0,390678387.0,1089495.0
1785726872.7267263,benign,0,124,14238,963005.0,387289273.0,1083200.0
1785726873.7487853,benign,0,124,14248,964116.0,403105004.0,1098341.0
1785726874.7737355,benign,0,124,14248,2290580.0,505502413.0,1964776.0
1785726875.7980337,benign,0,124,14240,3048337.0,542025297.0,2153123.0
1785726876.820262,benign,0,124,14232,1385735.0,490160282.0,1342746.0
1785726877.8428748,benign,0,124,14238,958278.0,384204507.0,1075855.0
1785726878.8649962,benign,0,124,14242,1024657.0,393167762.0,1136096.0
1785726879.8875172,benign,0,124,14244,976137.0,388124146.0,1105200.0
1785726880.9094305,benign,0,140,15452,1065904.0,436891259.0,1160870.0
1785726881.9316988,benign,0,124,14238,978767.0,446483969.0,1130670.0
